Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
4,132,DET,Sione Vaki,SAF,23,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,VakiSi00
4,133,KAN,Jaden Hicks,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,College Stats,HickJa01
4,134,NYJ,Braelon Allen,RB,20,,0,0,0,,,,,,,,,,,,,,,,,,Wisconsin,College Stats,AlleBr05
4,135,SFO,Jacob Cowing,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona,College Stats,CowiJa00
5,136,SEA,Nehemiah Pritchett,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats,PritNe00
5,137,LAC,Tarheeb Still,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,College Stats,StilTa00
5,138,ARI,Xavier Thomas,DE,,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,ThomXa01
5,139,WAS,Jordan Magee,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Temple,College Stats,MageJo00
5,140,LAC,Cam Hart,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,HartCa00
5,141,BUF,Sedrick Van Pran,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,VanxSe00
5,142,IND,Anthony Gould,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon St.,College Stats,GoulAn00
5,143,ATL,JD Bertrand,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,BertJD00
5,144,CHI,Austin Booker,DL,21,,0,0,0,,,,,,,,,,,,,,,,,,Kansas,College Stats,BookAu00
5,145,DEN,Kris Abrams-Draine,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,AbraKr00
5,146,TEN,Jarvis Brownlee,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats,BrowJa09
5,147,DEN,Audric Estime,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats,EstiAu00
5,148,LVR,Tommy Eichenberg,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats,EichTo00
5,149,CIN,Josh Newton,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats,NewtJo00
5,150,NOR,Spencer Rattler,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats,RattSp00
5,151,IND,Jaylon Carlies,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,CarlJa01
5,152,PHI,Ainias Smith,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M,College Stats,SmitAi00
5,153,JAX,Deantre Prince,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,PrinDe01
5,154,LAR,Brennan Jackson,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,College Stats,JackBr02
5,155,PHI,Jeremiah Trotter,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,TrotJe01
5,156,CLE,Jamari Thrash,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats,ThraJa01
5,157,CAR,Chau Smith-Wade,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,College Stats,SmitCh05
5,158,MIA,Mohamed Kamara,DL,25,,0,0,0,,,,,,,,,,,,,,,,,,Colorado St.,College Stats,KamaMo00
5,159,KAN,Hunter Nourzad,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,NourHu00
5,160,BUF,Edefuan Ulofoshio,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,UlofEd00
5,161,WAS,Dominique Hampton,CB,,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,HampDo00
5,162,ARI,Christian Jones,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,JoneCh12
5,163,GNB,Jacob Monk,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Duke,College Stats,MonkJa00
5,164,IND,Jaylin Simpson,SAF,24,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats,SimpJa00
5,165,BAL,Rasheen Ali,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Marshall,College Stats,AlixRa00
5,166,NYG,Tyrone Tracy,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Purdue,College Stats,TracTy00
5,167,JAX,Keilan Robinson,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,RobiKe03
5,168,BUF,Javon Solomon,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Troy,College Stats,SoloJa00
5,169,GNB,Kitan Oladapo,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon St.,College Stats,OladKi00
5,170,NOR,Bub Means,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,College Stats,MeanBu00
5,171,NYJ,Jordan Travis,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,TravJo00
5,172,PHI,Trevor Keegan,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,KeegTr00
5,173,NYJ,Isaiah Davis,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,South Dakota St.,,DaviIs00
5,174,DAL,Caelen Carson,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Wake Forest,College Stats,CarsCa01
5,175,NOR,Jaylan Ford,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,FordJa02
5,176,NYJ,Qwan'tez Stiggers,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,,,StigQw00
6,177,MIN,Walter Rouse,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,RousWa00
6,178,PIT,Logan Lee,DL,24,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,LeexLo00
6,179,SEA,Sataoa Laumea,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,LaumSa00
6,180,NWE,Marcellas Dial,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats,DialMa00
6,181,LAC,Kimani Vidal,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Troy,College Stats,VidaKi00
6,182,TEN,Jha'Quan Jackson,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,Tulane,College Stats,JackJh00
6,183,NYG,Darius Muasau,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,MuasDa00
6,184,MIA,Malik Washington,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Virginia,College Stats,WashMa00
6,185,PHI,Johnny Wilson,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,WilsJo03
6,186,ATL,Jase McClellan,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,McClJa05
6,187,ATL,Casey Washington,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats,WashCa01
6,188,HOU,Jamal Hill,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,HillJa02
6,189,DET,Mekhi Wingo,DT,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,WingMe00
